title,body
"Therefore, in your deliberations, when seeking to determine the military conditions, let them be made the basis of a comparison, in this wise:--","Take time to understand what you understand, and especially what the leaders understand and how they will think and act based on this understanding."
(1) Which of the two sovereigns is imbued with the Moral law? (2) Which of the two generals has most ability? (3) With whom lie the advantages derived from Heaven and Earth? (4) On which side is discipline most rigorously enforced? (5) Which army is stronger? (6) On which side are officers and men more highly trained? (7) In which army is there the greater constancy both in reward and punishment?,"This uses theFive Constant Factors to compare both yourself and your opponents against the same standard. If one of you has a better understanding of these, then this will confer a huge understanding. If one has a weakness in just one area, then this is where attack will be most successful. (1)Values and morals start from the very top and filter down. What the leader does, others will copy. (2) War is not won by fine words and dress, but by cunning and command. The true ability of generals will only be found out in practice. (3) Understanding of opposites and geography can be usefully compared. Beware of enemies who have strength in either. (4) Discipline is at the root of all action. Even with the finest strategy, an ill-disciplined force will fail. Build and sustain discipline from day one. (5) When two armies are pitted against one another on equal terrain, the strongest will win. If you are weaker, avoid a direct fight. If you are stronger, seek it. (6) Discipline comes out of training. So also does cunning and knowledge of strategy and tactics. If your enemy's forces are learning faster than yours, you are in trouble. (7) Discipline is only effective if it isconsistently applied. Values of the leaders are only transmitted if they are consistently displayed. Troops are clearlymotivated when they know that night follows day and consequences follow action."
By means of these seven considerations I can forecast victory or defeat.,"In our attempts to understand the complexity of the world around us, we tend to simplify. This is both natural and potentially very dangerous. Although this is a simple model, it takes a deeper understanding of the many sub-factors to make such forecasts. It is always a good exercise to use such models to compare both yourself and the other side against such models. Although this will not tell you everything, it can tell you much, especially where you have a weakness. Always remember that the other side may also have read Sun Tzu and be applying his advice."
"The general that hearkens to my counsel and acts upon it, will conquer: let such a one be retained in command! The general that hearkens not to my counsel nor acts upon it, will suffer defeat:--let such a one be dismissed!","Read, understand and apply Sun Tzu. Do not reject it because it seems too simple, too complex or too outdated. If you think this, question your own understanding."
"While heading the profit of my counsel, avail yourself also of any helpful circumstances over and beyond the ordinary rules.","And even Sun Tzu is not everything. Seek, study and listen elsewhere. Believe nobody has absolute knowledge yet many can contribute. Look for those who can contribute most for you, where you are, now."
"According as circumstances are favorable, one should modify one's plans.",'Favorable circumstances' are those where the situation suits particular strategies and tactics. Do not blindly follow advice. Understand how the jigsaw works and place the pieces where they fit.
All warfare is based on deception.,"Deception appears at all levels, from faked strategic intent to the feints and dodges of swordplay. Much business is also deception, particularly in terms of deceiving competitors. Beware, however, about deceiving customers or employees who may turn against you when they discover this betrayal."
"Hence, when able to attack, we must seem unable; when using our forces, we must seem inactive; when we are near, we must make the enemy believe we are far away; when far away, we must make him believe we are near.","As humans, we are naturally deceptive. Evolution has made us so. It has also made us cautious and good at detecting deception. The side which both spots deception and deceives the best, wins. Consider every perception of the other side and find ways of changing this."
"Hold out baits to entice the enemy. Feign disorder, and crush him.","These are but two examples, and yet each deserves attention. When an opponent is greedy for conquest they will grab unthinking at what seems like an easy gain, especially if it seems that the opportunity is brief. When it seems that you are disorganized or otherwise vulnerable, even for a moment, they may seek to take quick advantage of your temporary disarray. In such ways traps can be laid for the unsuspecting enemy who gifts you a win. Yet always beware the double-bluff where then enemy sees your deceptions and counters your trick with a better one, leading your arrogant response into a deeper trap."
"If he is secure at all points, be prepared for him. If he is in superior strength, evade him.","When you can find no way through a strong defense, Deception is perhaps most important when you are weak and cannot depend on strength. This is the strategy of prey who use camouflage and other ways of deceiving the predator."
"If your opponent is of choleric temper, seek to irritate him. Pretend to be weak, that he may grow arrogant.","A choleric temper is one which is easily roused. When we are emotionally roused, we think far less and so are open to simple traps. Those who easily become angry often do this as a way of feelingpowerful, yet they may have learned that this is not a guarantee of success. The bully only attacks the weakling. If you appear weak, caution is not needed and the bully will more easily emerge."
"If he is taking his ease, give him no rest. If his forces are united, separate them.","Everyone needs rest. Even being alert and ready to defend is draining, let alone the exhaustion that battle engenders. One way to weaken your enemy is hence to constantly harry and pick at them. Random small attacks createsuncertainty and keeps them tense. In this way, a small and nimble army can defeat a much larger army. Guerilla war is one such method. Concentrated forces are very difficult to defeat as front-line troops can quickly be replaced with reinforcements. If you can break them into parts or spread them out along a long front, removing the ability to reinforce, then a single, small victory can provide you with a powerful gain. In this way,divide-and-conquer is a common and powerful strategy."
"Attack him where he is unprepared, appear where you are not expected.","Do not attack in force where the enemy is strongest, although keeping stronger forces can be helpful while you throw a fierce attack at weak corners elsewhere. As with other suggestions, Sun Tzu makes use ofsurprise to keep the enemy in a state of confusion and uncertainty."
"These military devices, leading to victory, must not be divulged beforehand.","Deception only works when the other side does not realize that it is so. Hence great secrecy is needed, and perhaps even deception about the deception."
"Now the general who wins a battle makes many calculations in his temple ere the battle is fought. The general who loses a battle makes but few calculations beforehand. Thus do many calculations lead to victory, and few calculations to defeat: how much more no calculation at all! It is by attention to this point that I can foresee who is likely to win or lose.","Battles are won or lost before they are started. There is much in the way of planning and preparation that is required. If you are prepared for the many possible actions of the enemy and the fickle hands of fate, then you may take advantage of opportunity and avoid the horrible surprise of being outplayed by the leader on the other side. In planning, knowledge of the other side is critical. Knowing their strength, their position and intent helps you make better calculations, although you must always be ready for surprise. Of course the main plan never survives the battle. When the enemy acts, you have to respond. Yet even plans that are never implemented have their value in readying you. As Eisenhower said, 'Plans are nothing, but planning is everything. 'In business, managers often make plans as if the future is pre-ordained to happen as they believe it should. If they do not consider alternative scenarios they may be surprised. If they do not build resilience and readiness, they may be defeated by more agile competitors."
"Sun Tzu said: In the operations of war, where there are in the field a thousand swift chariots, as many heavy chariots, and a hundred thousand mail-clad soldiers, with provisions enough to carry them a thousand li, the expenditure at home and at the front, including entertainment of guests, small items such as glue and paint, and sums spent on chariots and armor, will reach the total of a thousand ounces of silver per day. Such is the cost of raising an army of 100,000 men.","War is expensive in many ways. It costs many lives. It can ruin international relationships. It can break reputations at home. But in the heat of ambition or retribution, what must always be remembered is the unromantic fact that war costs money. Lots of it. You may be able to borrow money or use resources you always have, but you will still have to pay for the war. Many countries have been economically ruined by a bellicose ruler. It is a wise leader who chooses battles carefully. The same is true of business. Competing can cost you much more than producing your product or delivering your service. Choose your fights carefully and always consider the cost before deciding to fight."
"When you engage in actual fighting, if victory is long in coming, then men's weapons will grow dull and their ardor will be damped. If you lay siege to a town, you will exhaust your strength.","War should be short and sharp for several reasons, an important one being that soldiers are not machines. War is won with troops who are fired up and ready for battle. Prolonged campaigns simply wear them out. This is one reason why siege is a poor strategy that should be avoided if at all possible. In business, your people likewise can only work at high levels for short bursts and need their breaks and holidays to refresh and reinvigorate."
"Again, if the campaign is protracted, the resources of the State will not be equal to the strain.","War also costs. When a country goes to war it is not just the soldiers who are affected. They have families who fret whilst they must be put to work to support the war effort. And the state's coffers may be depleted of money as the endless cost of weapons, logistics, wages and so on continues to mount. In business, competitive campaigns can likewise be costly. It is one thing to say 'we will fight' and it is another to stump up, day after day, for endless warring."
"Now, when your weapons are dulled, your ardor damped, your strength exhausted and your treasure spent, other chieftains will spring up to take advantage of your extremity. Then no man, however wise, will be able to avert the consequences that must ensue.","When troops are exhausted and weapons used up, and supporting resources gone you are in a position of great weakness and may be easily defeated. Such situations should be seen long before they happen and in time to be actively avoided. In reverse, if you can catch your enemy at a low point, you may snatch victory at relatively little cost. It is one of the strategies of defense to hunker down and let the enemy deplete their resources before springing out to take advantage of their exhaustion. In business, beware of throwing everything into campaigns if you do not know that you will win in this way. Steadiness often beats exuberance."
"Thus, though we have heard of stupid haste in war, cleverness has never been seen associated with long delays.","'More haste, less speed' is a common saying. Yet delay also has its costs. You need time to think and prepare, but you must also be aware that delay has costs as your resources are being spent whatever you do. In business as in war, if you delay you give space for your opponents to take the initiative. Whilst planning and preparation is important, action is where value is finally created."
There is no instance of a country having benefited from prolonged warfare.,"Prolonged battle, even if it finally exhausts the enemy, is not a smart way to fight. A war of attrition is simply expensive and its costs will be felt long after the fighting has finished. A smarter way is use cunning and strategy that give a quick win."
It is only one who is thoroughly acquainted with the evils of war that can thoroughly understand the profitable way of carrying it on.,"It is possible to profit from war, for example by plundering as you go, although this can still have a cost in the guerilla and other subtle revenges. Evil generally means taking pleasure in harming others. Evil people do find their way into armies as this provides a means to their ends. Beware those who fight for their own pleasure rather than for the love of their country and colleagues. In business predators can be found who buy up ailing companies in order to greedily strip their assets without care for the people they throw out onto the streets. This is bad for business, which is its own brand."
"The skillful soldier does not raise a second levy, neither are his supply-wagons loaded more than twice.","Taxes at home to pay for wars are not popular and not good for morale. It is better to find other ways. Also, once war is declared, a strong army does not wait for reinforcements or supplies but uses surprise to quickly invade, creating momentum and gaining immediate ground. In business, once you have secured a budget for marketing and sales, you should use that or find funds elsewhere, rather than going back, cap in hand."
"Bring war material with you from home, but forage on the enemy. Thus the army will have food enough for its needs.","It is always better to use your own weapons which you know well. For food and other supplies, it can be very helpful if you can capture these from your enemy. In business, this could translate into such as winning getting government funding and support away from competitors."
Poverty of the State exchequer causes an army to be maintained by contributions from a distance. Contributing to maintain an army at a distance causes the people to be impoverished.,"If the state does not have money to sustain the army, they must find funds from people in the country via various levies and donations. This is not a good way to fight the war as it weakens the morale and capability of the home population."
"On the other hand, the proximity of an army causes prices to go up; and high prices cause the people's substance to be drained away.","If the army has to buy provisions from other countries, then the additional demand on limited resource will make the price go up. Merchants may also take advantage of an army who has no other alternative. When the army buys provisions and when prices go up, those who would normally buy those same provisions may find they cannot afford the new prices and so start to dislike the army that they might once have admired."
"When their substance is drained away, the peasantry will be afflicted by heavy exactions.",Exaction is 'an act of demanding or levying by force or authority'. Those with little often suffer most in wartime.
"With this loss of substance and exhaustion of strength, the homes of the people will be stripped bare, and three-tenths of their income will be dissipated; while government expenses for broken chariots, worn-out horses, breast-plates and helmets, bows and arrows, spears and shields, protective mantles, draught-oxen and heavy wagons, will amount to four-tenths of its total revenue.","Here is an estimation tool for what may be the unseen cost of warfare in the time of Sun Tzu. What is it now for you? Understand the wider costs, quantifying these where possible."
"Hence a wise general makes a point of foraging on the enemy. One cartload of the enemy's provisions is equivalent to twenty of one's own, and likewise a single picul of his provender is equivalent to twenty from one's own store.",It is better to take the food destined for the enemy's troops than the food from the people in the lands you pass through or have to sustain long supply lines. This not only helps non-combatants but it also weakens the enemy. The motivational effects of this are significant. (One picul is equal to 133. 3 pounds or 65. 5 kilograms).
"Now in order to kill the enemy, our men must be roused to anger; that there may be advantage from defeating the enemy, they must have their rewards.","Anger has a biochemical effect on the body and the brain. Fear is forgotten. Adrenaline courses through the muscles. The natural state for fighting is aroused. A simmering anger also is effective in motivating troops over the longer term. In this way the atrocities of the enemy may be held up and amplified such that they create a longer-term hatred that drive the army on and on until victory is gained. The desire forjustice is a result of a feeling ofbetrayal or that sacredvalues have been transgressed. When victory is the means of restoration, then soldiers will single-mindedly seek the defeat of their bitter enemies."
"Therefore in chariot fighting, when ten or more chariots have been taken, those should be rewarded who took the first. Our own flags should be substituted for those of the enemy, and the chariots mingled and used in conjunction with ours. The captured soldiers should be kindly treated and kept.","Position the spoils of war as just reward for defeating the cursed enemy. Celebrate the victors and the brave. Make taking of the spoils of war a glorious thing. Yet also beware of the damaging effects ofextrinsic motivation. When the spoils of war become the main motivation, soldiers lose focus. Ensure your troops do not become as animals, for example by sustaining humanity in the treatment of prisoners. When the enemy's possessions have been taken, the person may be forgiven. Soldier who are captured and abused will hate you forever, as will their friends and family. Treat them well and they will take your part more easily. Doing this also encourages your enemy to likewise."
"This is called, using the conquered foe to augment one's own strength.","Disabling, capturing and stripping the enemy of their goods only gives you greater strength and avoids collateral damage that causes longer-term harm."
"In war, then, let your great object be victory, not lengthy campaigns.","The goal is to win, not to overrun everything and everyone. It is to defeat the enemy, not to fight forever. Whilst there may be glory in battle there is also great cost. Beware of letting glory becoming the ends that battle provides. Stories of derring-do are good for later cheer but they are not good for the nation when easier victory can be gained."
"Thus it may be known that the leader of armies is the arbiter of the people's fate, the man on whom it depends whether the nation shall be in peace or in peril.","The actions of the leader will build reputation. A useful reputation to seek is one of just power, where you can and will mete out justice where it is due. When people think you fair, they may fear and will trust you. Respect is a most powerful tool."
"Sun Tzu said: In the practical art of war, the best thing of all is to take the enemy's country whole and intact; to shatter and destroy it is not so good. So, too, it is better to recapture an army entire than to destroy it, to capture a regiment, a detachment or a company entire than to destroy them.","Destroying the enemy may seem the obvious goal. But capture may result in later wars. Glory may seem to be only found in battle. The enemy seen as evil deserves to be punished severely. Yet this is not the best way. Harming people when it is not necessary creates enduring enmity. On the other hand, showing superiority without fighting invokes awe. A captured force has to give up its weapons. It may be used in negotiations. Through treating them with respect you may draw the sting of their anger against you. In business, it is better to weaken and acquire competitors or go around them, rather than waging expensive competitive battles. When you are seen as superior, you may be able to induce their better people to join you, weakening them further."
Hence to fight and conquer in all your battles is not supreme excellence; supreme excellence consists in breaking the enemy's resistance without fighting.,"If the enemy sees that you can defeat them with ease, then few will seek simply to fight to an inevitable and inglorious death. Kindness in capture also weakens resolve and frames you as morally, as well as strategically, superior."
Thus the highest form of generalship is to balk the enemy's plans; the next best is to prevent the junction of the enemy's forces; the next in order is to attack the enemy's army in the field; and the worst policy of all is to besiege walled cities.,"Here are the goals to seek in your planning. If you can see what the enemy is planning, you can prepare to pull the rug from beneath their strategic feet. If you cannot see their plans then you may be able to outmanoeuvre them before battle is joined. When they see you have a superior position, they may be forced to concede. Also seek to prevent allies of the enemy joining with them. If you must fight, it is better to fight in open space than where where they have positional advantage. Siege is covered in more detail in the next point. The rules are similar for business. If you can anticipate and out-plan competitors, then you can smoothly and efficiently defeat them."
"The rule is, not to besiege walled cities if it can possibly be avoided. The preparation of mantlets, movable shelters, and various implements of war, will take up three whole months; and the piling up of mounds over against the walls will take three months more.",Laying siege to a strongly defended position is poor in many ways. It is likely to drag on for a long time. It is hard work and takes much resource. Your troops are exposed while theirs are hidden. The sheer cost of siege makes it a final option only.
"The general, unable to control his irritation, will launch his men to the assault like swarming ants, with the result that one-third of his men are slain, while the town still remains untaken. Such are the disastrous effects of a siege.","Frustration in the face of an impregnable enemy is a dangerous companion for any leader, as is anyemotion that clouds judgement. In business, managers who are 'action oriented' and like saying things like 'just do it' without considering consequences are in danger of significant subsequent regret."
Therefore the skillful leader subdues the enemy's troops without any fighting; he captures their cities without laying siege to them; he overthrows their kingdom without lengthy operations in the field.,"The best way of fighting is to avoid fighting. The best way to win a war is with superior strategy that out-thinks, out-plans and out-maneuvers the enemy such that they are forced to concede or else suffer a humiliating defeat."
"With his forces intact he will dispute the mastery of the Empire, and thus, without losing a man, his triumph will be complete. This is the method of attacking by stratagem.","Fighting wars depletes forces which limits the number of wars a commander can wage. If, however, soldiers are not lost and few munitions are used, then the army may march and march to war, defeating all in its path with little incremental cost."
"It is the rule in war, if our forces are ten to the enemy's one, to surround him; if five to one, to attack him; if twice as numerous, to divide our army into two.","Here are some simple rules of thumb that worked for Sun Tzu. The underlying principles are:1. Surrounding an army requires many men and is likely to spread forces thin unless you have a serious advantage in resources. If an army is surrounded by an overwhelming force, there is no way of escape and the only alternative to overwhelming defeat is to surrender. 2. With sufficient numbers, you can still crush an opposing force, although to do so may lose many men and so should be done with care. A way here is to use flanking and other indirect tactics. 3. With a smaller advantage, you can still use distractions and phalanxes to divide and conquer a monolithic army. A general rule is that if you have more troops than you need in a single situation, them you can gain advantage by employing the excess troops elsewhere."
"If equally matched, we can offer battle; if slightly inferior in numbers, we can avoid the enemy; if quite unequal in every way, we can flee from him.","If your men are better trained, better equipped and more motivated, then hand-to-hand combat should succeed. If you are weaker, then it is better to flee and fight another day when you have built advantage in other ways."
"Hence, though an obstinate fight may be made by a small force, in the end it must be captured by the larger force.",Glorious suicide is simply madness.
"Now the general is the bulwark of the State; if the bulwark is complete at all points; the State will be strong; if the bulwark is defective, the State will be weak.","Generals control armies. If they are weak then their decisions and orders will be weak. Therefore it is contingent upon the state to appoint consistently strong generals. Likewise in business, the success and failure of any organization hinges upon the competence of the CEO."
There are three ways in which a ruler can bring misfortune upon his army:,Leaders are not guaranteed success just because they are leaders.
"(1) By commanding the army to advance or to retreat, being ignorant of the fact that it cannot obey. This is called hobbling the army.","Commanders who issue orders that cannot be obeyed, for example where the army is pinned down by the enemy or where transportation is not available, only creates angst and conflict in the lower-level leaders on the ground. It also does little for the credibility of those commanders. In business, when the fine strategy hits the realities of the front line, it is often translated into quite different tactics, simply because front-line managers know that it will not work as is. This is sometimes known as 'strategic disobedience'. A common problem is where strategy assumes plentiful resources, whilst the reality is that budgets are thin and people are busy."
"(2) By attempting to govern an army in the same way as he administers a kingdom, being ignorant of the conditions which obtain in an army. This causes restlessness in the soldier's minds.","Citizens in the country have rights and freedoms and so must be persuaded and cajoled. Armies are regimented and commanded organizations for a good reason. If you ask a soldier if he would like to advance, the result is confusion. Orders to advance should be obeyed without question or delay. As Chang Yu noted, humanity and justice are the principles on which to govern a state. For an army, opportunism and flexibility are key virtues. In business, sales people are often quite a different breed to those back in headquarters. Tasked with selling or being sacked, they easily see corporate politeness and politics as laughable."
"(3) By employing the officers of his army without discrimination, through ignorance of the military principle of adaptation to circumstances. This shakes the confidence of the soldiers.","When people at the top order people way down the tree of command, it both undermines more senior officers and creates conflicts of loyalty in the ordered person. Such decisions may also be made with insufficient understanding of local conditions. Rigid and blind commands from senior officers have been the downfall of many troops. The rules of war change and fighting by the rules of the previous war brings doom. In the First World War, the orders for steady advance with bayonets fixed met the new machine guns, with ensuing carnage and waste."
"But when the army is restless and distrustful, trouble is sure to come from the other feudal princes. This is simply bringing anarchy into the army, and flinging victory away.","Soldiers are weapons with intent. If their intent is not clearly honed, it can drift or be turned by others. Trust is a complex and easily lost. If soldiers lose trust in their superiors, then cohesion is loosened and the army will not act as one. The same goes for business. If the CEO is not strong, then the barons on the board will start running their own fiefdoms for their own purposes. And if the employees do not trust managers, they may leave to work for the competition (a major reason for leaving is problems with the manager)."
"Thus we may know that there are five essentials for victory: (1) He will win who knows when to fight and when not to fight. (2) He will win who knows how to handle both superior and inferior forces. (3) He will win whose army is animated by the same spirit throughout all its ranks. (4) He will win who, prepared himself, waits to take the enemy unprepared. (5) He will win who has military capacity and is not interfered with by the sovereign.","Do not just charge in. Pick your fights. (1) Pick the right time. For example in the early morning when they are still asleep. Or in the Summer, when you will not be bogged down in the snow. (2) You will not always have the greatest force. Yet you can win. Knowing the right fighting strategy is important here. (3) Constancy of purpose and knowing the commander's intent keeps an army together and with a clear, cohesive focus. (4) An army actually spends very little time fighting. When it is not fighting, it should be preparing. Failing to prepare is preparing to fail. So if the enemy is not prepared and you are, then you have huge advantage. (5) Rulers know how to rule civilians. Generals know how to fight. Whilst the ruler's intent is important, strategy and tactics should be left to those who understand it best. These rules are easy to translate into the business context."
"Hence the saying: If you know the enemy and know yourself, you need not fear the result of a hundred battles. If you know yourself but not the enemy, for every victory gained you will also suffer a defeat. If you know neither the enemy nor yourself, you will succumb in every battle.","Self-belief without self-knowledge is a dangerous thing. Knowing yourself without knowing the other side is also dangerous. With full knowledge, you can always win. With weak knowledge you can always fail. Be honest with yourself and know the enemy better than he knows himself. Chang Yu said: ""Knowing the enemy enables you to take the offensive, knowing yourself enables you to stand on the defensive. """
"Sun Tzu said: The good fighters of old first put themselves beyond the possibility of defeat, and then waited for an opportunity of defeating the enemy.","To win, you need the right opportunity, which may take time to find. During that time of unreadiness, you may be defeated and so lose. Defense comes first. In business, if you put all your resources into promoting new products, your cash cows may be exposed to attack."
"To secure ourselves against defeat lies in our own hands, but the opportunity of defeating the enemy is provided by the enemy himself.","If you have a good defense, you will survive attacks. If you have a weak defense, then even a moderate attack may well succeed. The same is true for your enemy. Understand their defense to know how hard or easy it will be to defeat them. This is the principle of the feint, where a false attack triggers a defensive move that also exposes a weakness. In business, you can make small competitive moves just to see how your competitors react. You can then plan a more effective campaign."
"Thus the good fighter is able to secure himself against defeat, but cannot make certain of defeating the enemy.","The same is true for the individual fighter. If you can block and parry or otherwise avoid their thrusts, you can wait to find an opening through which you can defeat them in a single blow. In this way, two good fighters circle one another and may fight for a long period before one makes a mistake"
Hence the saying: One may know how to conquer without being able to do it.,"If you know how to attack or punch well, yet your opponent can defend against all your attacks, then you will still not win. Recognizing good strategy and being able to design and implement it are different things."
Security against defeat implies defensive tactics; ability to defeat the enemy means taking the offensive.,"To avoid losing, you must be able to defend. Knowing this, you can spend too much on building a strong defense. To win, however, you must be able to attack. And so you must also plan and prepare for winning attacks. Chang Yu said: ""Attack is the secret of defense; defense is the planning of an attack. """
"Standing on the defensive indicates insufficient strength; attacking, a superabundance of strength.","It can be easier to defend than attack, for example by holding a defensible higher position. In this way weaker forces will defend more, hoping perhaps to see a weakness in their attackers into which they can sally forth. Strong forces can successfully attack a defensive position only if they are strong enough to break through. This may require very significant attacking advantage."
"The general who is skilled in defense hides in the most secret recesses of the earth; he who is skilled in attack flashes forth from the topmost heights of heaven. Thus on the one hand we have ability to protect ourselves; on the other, a victory that is complete.","The leader must unashamedly know their strengths and weaknesses in both defense and attack and act accordingly. If they are weak in attack, they should seek an unassailable position which is easy to defend. Concealment is an art that does not literally meet going underground. If the enemy cannot find you, you may hide in plain sight. If they cannot see your strength or know your plans, they may make foolish moves. If they are strong in attack, then a fast and powerful thrust can overcome many defenses. Sometimes abilities come from where you live or what you do. People on desirable islands or hilltops may not need to attack, but regularly need to repel invaders, and so develop defensive skills. Those who are aggressive and acquisitive may, through many campaigns, become skilful in attack."
To see victory only when it is within the ken of the common herd is not the acme of excellence.,"When there is a royal road, paved with gold to your goal, with no distractions or threats, then it takes no skill to follow it. Likewise, when many can see the obvious, then doing the obvious can hardly be called 'excellent'. Seeing the unseen is a skill that can help you in many ways. In business, it is easy to succeed in a rising market when there is plenty of demand. Real skill is shown in tougher times."
"Neither is it the acme of excellence if you fight and conquer and the whole Empire says, ""Well done!""",This is more confusing. See below for why congratulations does not necessarily indicate excellence.
To lift an autumn hair is no sign of great strength; to see the sun and moon is no sign of sharp sight; to hear the noise of thunder is no sign of a quick ear.,"A hair is light, as is an autumn leaf. Of course it does not need strength. Similarly, perceiving what is visually or aurally obvious does not indicate acumen. To perceive what is not obvious and understand its significance takes a finer skill. Few have natural talent in fine perception. Few also take time to hone their perceptual abilities. This is what makes those who do appear excellent."
"What the ancients called a clever fighter is one who not only wins, but excels in winning with ease.","A good fighter does not get into difficult fights nor gets into difficult situations. The application of great skill often appears to be done without much effort. This is because it is done with skill, not effort."
Hence his victories bring him neither reputation for wisdom nor credit for courage.,"This answers point 9. Many equate effort and hardship with skill and courage. When it seems you have won with ease, those who do not appreciate your skill will not recognize or credit your ability. When you see what others do not see and think what they do not think, it is not surprising that they neither understand nor appreciate you."
"He wins his battles by making no mistakes. Making no mistakes is what establishes the certainty of victory, for it means conquering an enemy that is already defeated.","As in the principle of defense and attack, we lose by making defensive mistakes that allow an attack through. Mistakes are also made when any waste occurs. What is squandered now may be sorely missed later. The principle is the same in chess and many other situations, including business competitive strategy."
"Hence the skillful fighter puts himself into a position which makes defeat impossible, and does not miss the moment for defeating the enemy.","Again, as indefense and attack, if you are impregnable, then it takes just a moment of weakness by the enemy where you can slip in and win. And so you must be constantly vigilant and ready."
"Thus it is that in war the victorious strategist only seeks battle after the victory has been won, whereas he who is destined to defeat first fights and afterwards looks for victory.","A good strategists sees further ahead than others, plotting the moves and counter-moves until certain victory is known. The first move may hence be seen as oddly innocuous, but moves confidently towards inevitable victory. The higher in business you go, the further into the future you need to see. The ability to see possibilities and take your organisation there is a powerful leadership skill."
"The consummate leader cultivates the moral law, and strictly adheres to method and discipline; thus it is in his power to control success.","Remember the Moral Law, plus method and discipline in the Five Constant Factors. Naturally, success with these should lead to success in war."
"In respect of military method, we have, firstly, Measurement; secondly, Estimation of quantity; thirdly, Calculation; fourthly, Balancing of chances; fifthly, Victory.",Here are five aspects of the 'military method' which are described in more detail in the paragraphs below.
Measurement owes its existence to Earth; Estimation of quantity to Measurement; Calculation to Estimation of quantity; Balancing of chances to Calculation; and Victory to Balancing of chances.,"Nothing is certain in war and victory starts with intelligence that allows understanding of risks and opportunities, projecting possibilities for each and then acting on the one with best outcome. In business, risks and opportunities are often based more on opinion than data and calculated projection. Improving this will improve success."
"A victorious army opposed to a routed one, is as a pound's weight placed in the scale against a single grain.","Armies that win are superior to those which run away. They have greater advantage and far stronger morale. In business, do not underestimate the power of motivation. Leading people to wins, even small ones, will increase morale and lead to more wins. After failure, work hard to restore morale."
