quote,annotation
Can't stop the groove licks jaws clear off them locks relentless raw movement,"Grips and claws are a difficult enemy to sever. Seek to avoid the jaws than the wheels, for example. Claws are not machines, but rather sharp metal parts that can be hammered together and made stronger. When a snake bites a human, for example, it may be sharpened to sever the sharpening agent. When soldiers use weapons such as clubs or spears, they may also be sharpened to sever the devastating tool. In business, sharp instruments may be substituted for delicate brandy for a greater or less impact."
Fit to knock you from here to that g-spot body rock connected,"When you have a body of rock connected to a rock, and facing you, and with which you can strike with ease, it is likely that the ground below will offer some sort of strong defense. This may seem like a good thing. It does not make sense. It is not good enough to just throw up and take a life. If you can hold off an attack for a long period of time, then you have great advantage. In fact, if you could hold off a whole army for a long period of time, you could win the war for you. It is a good thing you like fighting, rather than just fighting. When you have a good position but a weakness, it may be good to just defend it. You may yet prevail, perhaps defeating the enemy in the process."
"To everything you want, ever did want","Setting goals that cannot be met, even in the face of overwhelming odds, leads to complacency and complacacity that leads to failures. This is the lesson of chess and many other situations. When you know your own best options, you can then make any and all possible. During the course of a game, you should consider the possibility of weakness and strengths, strengths and weaknesses, possible threats to your opponent and the various combinations of threats that can be employed. In business, you can also use threat and cunning to capture competitive advantage."
"We got it why not come get it, stick your head in that hole","As in the above, you can use any combination of two or more factors to determine how well you can get across territory. The key to success lies in having good timing, where you can release your opponents when you are no longer needed. If you must take risks, use your advantage of now to gain a longer-term advantage."
And watch me drop this cold guillotine death sentence yah,The guillotine is the most powerful and most terrible attack. It kills with a single blow. The only danger is that the ruler yanks the trigger and kills the hunkering down soldier.
"It goes, it goes, it goes, it goes","The army advances, hoping to reach its destination within. We relax our resolve and let the momentum carry us. We wait for the enemy to come to our rescue. Finally, we make our move. If we waited too long, the enemy might come to our rescue. In this way, you may build momentum and win. Build momentum by taking the enemy unprepared. Build momentum by failing to take the enemy unprepared. You can win by failing to defeat the enemy. You can win by failing to defeat the enemy. You can win by failing to defeat the enemy. You can win by failing to defeat the enemy. You can win by failing to defeat the enemy. You can win by failing to defeat theenemy. You can win by failing to defeat theenemy. You can win by failing to defeat theenemy. You can win by failing to defeat theenemy. You can win by failing to defeat theenemy. You can win by failing to defeat theenemy. You can win by failing to defeat"
Guillotine yah,"A good leader avoids mistakes by giving his all and waiting for the right moment. When there is no time to make any, then the leader may take risks that will tip the balance of power in his favour. When there is no alternative but to fight or flight, then you have a superior force. It is a skill that can take you to the final victory."
"Hidden art, between and beneath, every fragmented, figure of speech,","When there is no such thing as speech on their own account, companies may be paralyzed by a command not to use it. When there is the need to break new commands, they may be surprised by unexpected resistance."
"Tongue in reverse, whenever the beat, causes my jaws to call","When you are not moving, howling in a circle or rolling in a straight line, yet rolling in a straight line, can be seen as a sign of weakness. Likewise when you are weak and cannot perform the action, yet are strong and powerful enough to win the battle, then you are weak and vulnerable. When you are strong and able, you can also use this weakness as a reason to retire and go home. In business, resilience is often a sign of stress. Passivity may also be a result of poor communication. In between, you may be weak and be strong."
Out out out out yah,"You cannot be sure of what you find and expect to be found, only what you can reliably predict. Knowing the future is not enough; you must know when to expect the unexpected. The best strategy is always to anticipate what may happen, and then make plans in order to avoid the worst. In business, knowing the future and knowing you can afford surprises is a useful way of thinking. In these ways, you may be able to predict the future and still have a good result."
"The screens flashing red, can't see shit but heads","Sun Tzu believed in the ability of the general to direct the campaign. He also believed that in war, the strongest army will win. Hence, the importance of scouting ahead and employing all your might to see what the enemy does. In business, if you hire good people who can see the future and understand risks, opportunities and strategy, you have a competitive advantage."
Spinning exorcist like planets,"Spinning an enemy requires the player to bend and twist to their will, in particular where the opposing force will likely be strongest. Spinning is a good way of forcing an enemy to bend in order to win the game. In this way, the opposing force may walk off the board as they wait for you to drive them to the mat. Spinning can also be used to break alliances. Spinning can also be used to weaken or destroy opposing forces. This is a good way to start a war that is likely to be won by stronger forces."
