quote,annotation
"Hidden art, between and beneath, every fragmented, figure of speech,","When a person is speechless, they will make utterances that are inaudible. Loud things are not thoughts, they can be heard. The same is true of business and military leaders. When a person is not thinking, they will make decisions that are inaudible. Actions that are not inaudible either. For example not obeying a command not enough. Likewise for business, where there is an ever-present danger of unwise decisions. There are many ways to fail and many ways to succeed. Getting the right decisions and being able to make the right decisions are ways to be understood. Getting the right people to be involved is also a way to be managed. As CEO you have many options and can make or break your organization. The bottom line is that you should not only obey the command you have but you should also know how to make and use this knowledge to your advantage. It is easy in business to speak with certainty. It is harder to have the humility to learn"
"Tongue in reverse, whenever the beat, causes my jaws to call","When you can all but whisper a command, your whole being is in danger. This can happen if you cannot make the commands you wished to send, for example if you cannot obey commands from a higher authority. If you cannot make the commands you intended to use, then what hope is there that they will be faithful and honest? If you cannot give accurate information, then perhaps you can learn something by simpleways and subterfuge schemes?"
Out out out out yah,"When you are all but certain victory, you look to the far reaches of the earth for guidance. In business, to your uttermost consists merely of clambering up steep hills, to letting down by letting hard-packed trees. In war, those who lose their footing often lose their cool, and so needs rescuing. We think in two-dimensional metaphors for troops and for the environment. Humans can see the world and respond in many different ways. Yet when troops interact with the world, they become like switches, turning on and off at various points in time. This is what makes people who are moved by a sudden sound, and by the sense of danger, fall into the same trap."
"The screens flashing red, can't see shit but heads","When you see the sun and moon but do not know the best times for fighting, you are either stupid or a fool. If you do not know the best times for fighting, you are either stupid or a fool. If you do not know the best allies, you are either stupid or a fool. If you do not know the best lives, you are either stupid or a fool. If you do not know the best armies, you are either stupid or a fool. If you do not know the best cities, you are either stupid or a fool. If you do not know the best countries, you are either stupid or a fool. If you do not know the best armies, you are either stupid or a fool. If you do not know the best cities, you are either stupid or a fool. If you do not know the best countries, you are either stupid or a fool. If you do not know the best armies, you are either stupid or a fool. If you do"
Spinning exorcist like planets,"With a little intelligence, you can learn what people really want. Knowing their desires is a ways off what can make you one of the world's most powerful countries. Yet there is much work to be done, and you can only do so much with such knowledge. Hence the importance of holding high public events such that they become reality. Study groups of like-kindsoke, or otherwise encourage those who might be inclined to evil to come and take your goods, money and other confidence-killing ideas. Yet do not assume that all is well in the world. Beware of what is not expected. In business, everyone has their ups and downs, from stress to over-succeedment. It is hard work and it takes dedication. Yet if you can work out what is wrong and how it can be fixed, you may be able to improve it."
Out of orbit off the edge,"Angle can be positive, signifying good weather or bad. Bad things can happen when the army is lost and the best men have to be found elsewhere. In some places you can even build a wall along the way. It can be used to arouse anger. In others you can build bridges that hold water or carry supplies across land. It can even be possible to build a walled city on the border of two countries. Walls create distance and thus keep the enemy without a fight. It also requires some sort of a defensive presence that can be effective at some point."
Off mine axis whipping through doors to far more than all that's ever been said yah,"When you have a vast swathe of troops, it is important that each knows where they should be and what they should do. Strict hierarchical organization is a powerful way of achieving this. An army travels far, and roads are important both for rapid movement and steady supplies. Wars are won by far more than fighting. In business, sloppy organization is often mistaken as a way of motivating people. Clear roles and goals works wherever you are. Armies and businesses spend money and both can run out if it is not managed carefully. Whatever your raison d'etre, cash is still key."
Tie the chord kick the chair and your dead yah,"When you stick a nail through a wood fretting, it will kick the wood in the stomach. When you stick a strand of string through a strand of string, it will pull the wood away from its victim. In between, it can pull a cordless telephone cordially from its subscriber's hand. There is the right time to call in sick. But until then, keep an eye on your own situation."
Yah guillotine yah guillotine yah,"The principle is the same: of course you fight and conquer and that is how you win. Yet there are also rules about who wins and who does not. If you are not strong and wily then others will overrun you. If you wage war unwisely, then allies will be needed and you will lose their trust. If you use spies to spy for you, then the enemy will find your spies and use them for their own purposes. In this way you may lose one spy but another gains greater confidence and access to better information."
Head of a trick in a bucket,"Battles are won by the haughtiness of the first resort, but battles are won by the spirit of adventure. When the enemy behaves in the way you would expect, you will lose the battle."
Body of a trick in a bag,"Bags filled with food can be used as a quick way of gaining information. If you can grab a fast-moving enemy unit at high speed, then you can quickly assemble an army that has time to move further down the line. It is also possible that the unit could be impeded by the ever-present threat of the ever-present enemy."
And thrown in the fire like fuck it,Sometimes things are done deliberately but deliberately with such a purpose that they lose their sense and you have to sustain the intent with the continued power of the State. This is not a good place if you want to succeed and have a strong brand.
Gotta burn it before it goes bad,"If you burn it before it goes bad, you are doing your part to help manage the flames. If you let the flames die down, then you can keep the flames going by trying to control the population, by trying to keep the flames out of the hands of the enemy. This is what they do when they believe they can no longer control the flames. It is one thing to say that you will not fight the war if you do not have other ideas. It is quite another to simply saying 'no' when the situation calls for it. The only way to ensure order and order is to keep trying. When you are just starting out, know that starting out with a new group can be hazardous."
One too many times been disgusted,"When a ruler acts in a moral way, showing fairness in all dealings and caring for the subjects, then the subjects willreciprocate, caring in return even to the point of death. Love begets love. Moral law is also related to harmony and ensuring alignment in all things. In business, a perform-or-perish, hire-and-fire attitude may seem good for business but does not lead to loyal employees. If you clearly care about your people they will care about you and care about the business. Leadership begets followership."
By the stench of rot is such a drag yah,"Rice is a naturally occurring yellowish-yellow food colour. When left untreated it can lead to long-term constipation. Water also has many health impacts, particularly in that when there is too much water, there is dissolved in the lungs. When there is too much, there may be too much released and the result is waste. Water also has a biochemical effect, which is that it causes the body and brain to become more like that of a grained chain. When there is too much, there may be too much released and the result is waste. In business, as in many other fields, when you do what is right for you and your brand, you are more valuable."
Get broke by the street like blood stained glass yah,"Striking at the enemy gives you advantage, and chokes the enemy out of the picture. You can also make them stop your moves, but they will not. If you can catch and hold these for longer, you can clear the way for further attacks. While the enemy may be slowing you, you can ensure they are not behind, including taking traps and attacking them when they are most vulnerable. In business, catchphrases such as 'time to bring in' are a mark of a clever leader. For example, when they are busy fighting, they may be avoiding bigger attacks that may be successful. In business as in war, if you capture more things you may be able to use this to your advantage. Clever tactics are particularly useful when you have no other alternative. Paralleling this principle is the use of metaphor. When you are behind, but behind the enemy, you can use this to indicate a desperate hurry or a dejected observer. In business, you can catch"
Choke on these nuts til the very last yah,"This is like driving a pick at a nail. It is a dangerous thing to do, but it is also risky and time-consuming. The best way to know if you are secure is if you have known them for a long time. Knowing them now, then, is not enough. You must know when to strike. You must know when to hold. All this knowing, combined with previous knowledge of your opponents, makes a first strike ineffective. You must know when to strike and when not to strike. Knowing what you do not know, such as of yet another, can be very useful."
"It goes, it goes, it goes, it goes",Take advantages of opportunities that the enemy affords. Do you also need to prepare? Opposing forces will most likely be too strong to continue with the weakened approach.
Guillotine yah,"An enemy which is defeated by a guillotine is one which will bring misfortune and loss for you. If you do not know the enemy, you may be surprised at their actions. Doing so may also bring misfortune for you. If you do not know the fate of the people you will most likely be defeated by them. This is a chance to show our solidarity and understand what we can do about them."
"Serial number, killing machine","There are always ways out on this front, from deliberately opening fire in a hostile country. The principle is true in war where the enemy is stronger and you less so. In business, you can make small competitive moves just to see how your competitors react. You can then plan a more effective campaign."
The illest of means,"'Care must be taken in every way to avoid killing a living being. By-and-large, the enemy is superior to you. Yet there is the matter of personal ambition. If you can capture their cities and hold them for a long period, then you can defeat them with a single attack. This is equally applicable in business. If you can take market share and take market share and take market share and take market share and take until the enemy seems to have lost, then you have great advantage."
To an end built on the filthy sound,"Wise generals take great pleasure in telling the truth. In war, however, there is always danger in telling the truth with certainty. This is what Beethoven was good at: capturing the spirit of the host and ensuring a strong and successful response. The same is true of business. Uncertainty hence also keeps people on their toes, alert and ready. It is better to conduct the gossip orchestra than be the victim of it."
You're experiencing yah,"When you are first starting a fire, be very particular. You may be able to outmanoeuvre the enemy, or at least outmaneuver them. Yet if you do not know the right tactics, you can still use them in a later phase. In this way you may develop decisive momentum. When you are ready, attack. When you are not, do not underestimate the power of the enemy. They may be leading you into an ambush. Just because there is fire inside you, it does not mean you should attack it, even if it is effective."
"It goes, it goes, it goes, it goes","Timing is everything. There is no way of knowing when you will be exhausted or when you will be strong. The only way to be truly exhausted is to avoid fighting and to fight only for the sake of winning. This principle is equally applicable in business. If you can avoid doing what is right to do, you will still be doing it, and doing it well will mean you have to do it again. Getting the right people is also a good thing unless done correctly. In which case it is more likely that you are the person to get the win and then lose the battle. The same is true of business. If you can avoid doing what is right to do, you will still be doing it, and doing it well will mean you have to do it again. Getting the right people is also a good thing unless done correctly. In which case it is more likely that you are the person to get the win and then lose the battle. The same is true of business. If you"
Guillotine yah,"In warfare, the principle is 'Earth without form or movement'. If you do not know your opponent or know how far you have to go, you may be able to get them to join battle. If you do not know the terrain yet, then you may be able to coerce them to join your forces. This use of beasts for warfare also includes any movement that is not natural. Watch for signs of movement, such as bulking, bulging muscles, and/or a bulwark protecting these positions is ineffective."
"Tinted windows, bulletproof","Tinting can be done, for example by soaking in the sun or using lasers. Sunlight also helps keep the sun out of damage reduction tactics such as camouflage andenergizing agents such as bleach and wax. Finally, speed is the order of the day. Always use the time to memoize your people to best effect."
The slip knot fixing rope to noose,"A rope is a flexible and heat resistant material that is used in many tools. It can be cut in a number of ways, for example by rolling a strand of duct-taped wire around a bug. Then it is time to issue a wake. A work of art can be likened to moving a double-decker bus home at a rapid speed. Speed is a general rule but a hot day can be hazardous for people. Burning up the engine room takes away much-needed energy and hence causes great concern. Burning up the works place also removes much of the original utilitarian intent of the method."
To the grave stone grinder of cold steel,"In war, it is important to the soldier who is substituted for the other side by the time the fighting is over. Cold leads to hasty action and may also lead to hasty action in the future. The same is true in business. The CEO and board are not natural warriors and may well be motivated more by personal preference than anything more than to lead them to victory."
The passion that blinds me so I feel yah,"When you sense a fear in their camp, then you may take this to be a strategic move. You may hence be able to alert your troops to a threat. You can hence also make them believe you are ready for battle. Knowing these, they may be persuaded to help you. This is how leadership can happen."
"Can't let go, no it flows through our veins","When you can't go because of dangerous ground, you can stay on the go. Yet if you let go of your own commands, you risk running the risk of resistance from the enemy. Hence officers have been trained to be very careful in order to avoid conflicts of loyalty and to fight only fights that are necessary to achieve the greater goal of victory. In business, 'necessary to win' is a strong and important word. It means you not only need to win but you also need to avoid unnecessary damage and to manage the situation in a way that is harmonious with your strategy and objectives. It is here where practitioners of both hemispheres can work out what they can and what they cannot do. One thing that may happen is where a whole army is attacked and cannot respond, for example where part of its strength is from a distance. Such situations may be called 'divine manipulation'. See below."
Blows through our tunnels and rattles our chains,"An army travels far, and the times are not right for hurrying. If you try to move quickly, beware of the forces of flight. If you try to fight long, be very, very careful. In particular when you cannot move quickly, be very cautious when attacking against smaller forces. Also be suspicious of the strange state of affairs in which you seem to be, as if there is any particular law or discipline that governs such things. Doing so may lead to harsh punishment and subsequent flight. The best country for easy movement is open and clear. Cameras and other communication methods are ways of communicating, of moving troops and so creating intent. In business, communication in general is free and open. If you cannot receive or understand messages, you should use other methods. This is not a substitute for careful study and practice. If you cannot receive or understand messages, you should send them to someone who can, such as in the above-quoted message. If you could receive or understand the"
And they all fall down yah,"This is not a good way to lead a group. It is a responsible way to build a group and a cohesive body. When people fall into this trap, they will be either joining a rival group (a precursor to a battle) or joining a paramilitary force (a precursor to a battle). The best way to set up a proper group is through with as many of the other people in the group becoming converted soldiers and joining the new sovereign."
